BCSORM	1
C.H.	2
C.M.D. (China)	3
C.M.T.	4
DACM	5
DAOM	6
DC	7
DIPL	8
Dipl.Ac.	9
Dipl.O.M.	10
FABORM	11
L.Ac.	12
LMP	13
LMT/CMT	14
M.C.S.T.M.	15
M.S.	16
MD	17
MSOM	18
MSTCM	19
MTCM	20
MTOM	21
NC	22
ND	23
O.M.D.	24
PH.D.	25
QME	26
R.N.	27
TCM	28
